TitleName,TvRating,Genre,TitleId,YearMade,Score 
weeds,2012,Drama,TV-MA,352,85
the tudors,2010,Drama,TV-MA,353,0
grey's anatomy,2016,Drama,TV-14,354,98
lie to me,2010,Drama,TV-14,355,89
prison break,2008,Drama,TV-14,356,98
gossip girl,2012,Drama,TV-14,357,96
glee,2015,Drama,TV-PG,358,92
the vampire diaries,2017,Drama,TV-14,359,91
the secret life of the american teenager,2013,Drama,TV-14,360,81
drop dead diva,2014,Drama,TV-PG,361,0
gilmore girls,2006,Drama,TV-14,362,91
charmed,2005,Drama,TV-PG,363,90
white collar,2014,Drama,TV-PG,364,93
house of cards,2016,Drama,TV-MA,365,91
pretty little liars,2016,Drama,TV-14,366,96
the killing,2014,Drama,TV-14,367,73
shameless (u.s.),2016,Drama,TV-MA,368,97
hart of dixie,2014,Drama,TV-PG,369,81
once upon a time,2016,Drama,TV-PG,370,98
scandal,2016,Drama,TV-14,371,92
the client list,2013,Drama,TV-14,372,92
unconditional,2012,Drama,PG-13,373,0
bates motel,2016,Drama,TV-14,374,83
the blacklist,2016,Drama,TV-14,375,96
the fosters,2016,Drama,TV-14,376,73
reign,2015,Drama,TV-14,377,79
the originals,2016,Drama,TV-14,378,74
the 100,2016,Drama,NR,379,97
witches of east end,2014,Drama,TV-14,380,0
bitten,2016,Drama,TV-MA,381,56
london has fallen,2016,Drama,R,382,96
marvel's jessica jones,2015,Drama,TV-MA,383,83
bloodline,2016,Drama,TV-MA,384,0
grace and frankie,2017,Drama,TV-MA,385,90
velvet,2016,Drama,TV-14,386,0
how to get away with murder,2016,Drama,TV-14,387,95
the crown,2016,Drama,TV-MA,388,84
jane the virgin,2016,Drama,TV-14,389,91
kurt seyit & sura,2014,Drama,TV-14,390,0
the returned,2015,Drama,TV-14,391,0
the girl in the book,2015,Drama,TV-MA,392,0
quantico,2016,Drama,TV-14,393,88
life in pieces,2015,Drama,TV-14,394,68
ingobernable,2017,Drama,TV-MA,395,96
girlboss,2017,Drama,TV-MA,396,94
13 reasons why,2017,Drama,TV-MA,397,99
merlã­,2015,Drama,TV-PG,398,0
greenleaf,2016,Drama,TV-14,399,62
100 metros,2016,Drama,TV-MA,400,0
bones,2016,Drama,TV-14,401,97
dexter,2013,Drama,TV-MA,402,95
leverage,2012,Drama,TV-PG,403,86
grey's anatomy,2016,Drama,TV-14,404,98
lie to me,2010,Drama,TV-14,405,89
prison break,2008,Comedy,TV-14,406,98
ncis,2016,Comedy,TV-14,407,97
burn notice,2013,Comedy,TV-14,408,85
breaking bad,2013,Comedy,TV-MA,409,97
